FSRQ,DWJZ,LJJZ,JZZZL
2025-12-01,1.1980,3.3322,1.04
2025-11-28,1.1857,3.3199,0.23
2025-11-27,1.1830,3.3172,-0.04
2025-11-26,1.1835,3.3177,0.57
2025-11-25,1.1768,3.3110,0.89
2025-11-24,1.1664,3.3006,-0.11
2025-11-21,1.1677,3.3019,-2.29
2025-11-20,1.1951,3.3293,-0.47
2025-11-19,1.2007,3.3349,0.42
2025-11-18,1.1957,3.3299,-0.60
2025-11-17,1.2029,3.3371,-0.63
2025-11-14,1.2105,3.3447,-1.48
2025-11-13,1.2287,3.3629,1.14
2025-11-12,1.2148,3.3490,-0.12
2025-11-11,1.2163,3.3505,-0.86
2025-11-10,1.2269,3.3611,0.34
2025-11-07,1.2228,3.3570,-0.29
2025-11-06,1.2264,3.3606,1.36
2025-11-05,1.2100,3.3442,0.19
2025-11-04,1.2077,3.3419,-0.72
2025-11-03,1.2164,3.3506,0.26
2025-10-31,1.2133,3.3475,-1.39
2025-10-30,1.2304,3.3646,-0.75
2025-10-29,1.2397,3.3739,1.13
2025-10-28,1.2259,3.3601,-0.47
2025-10-27,1.2317,3.3659,1.13
2025-10-24,1.2179,3.3521,1.19
2025-10-23,1.2036,3.3378,0.28
2025-10-22,1.2002,3.3344,-0.32
2025-10-21,1.2040,3.3382,1.46
2025-10-20,1.1867,3.3209,0.51
2025-10-17,1.1807,3.3149,-2.12
2025-10-16,1.2063,3.3405,0.27
2025-10-15,1.2030,3.3372,1.42
2025-10-14,1.1861,3.3203,-1.14
2025-10-13,1.1998,3.3340,-0.46
2025-10-10,1.2054,3.3396,-1.86
2025-10-09,1.2283,3.3625,1.40
2025-09-30,1.2113,3.3455,0.44
2025-09-29,1.2060,3.3402,1.46
2025-09-26,1.1887,3.3229,-0.88
2025-09-25,1.1993,3.3335,0.59
2025-09-24,1.1923,3.3265,0.99
2025-09-23,1.1806,3.3148,-0.07
2025-09-22,1.1814,3.3156,0.43
2025-09-19,1.1764,3.3106,0.09
2025-09-18,1.1753,3.3095,-1.12
2025-09-17,1.1886,3.3228,0.59
2025-09-16,1.1816,3.3158,-0.19
2025-09-15,1.1839,3.3181,0.23
2025-09-12,1.1812,3.3154,-0.53
2025-09-11,1.1875,3.3217,2.19
2025-09-10,1.1621,3.2963,0.21
2025-09-09,1.1597,3.2939,-0.67
2025-09-08,1.1675,3.3017,0.15
2025-09-05,1.1658,3.3000,2.08
2025-09-04,1.1420,3.2762,-2.00
2025-09-03,1.1653,3.2995,-0.66
2025-09-02,1.1730,3.3072,-0.70
2025-09-01,1.1813,3.3155,0.57
2025-08-29,1.1746,3.3088,0.75
2025-08-28,1.1658,3.3000,1.64
2025-08-27,1.1470,3.2812,-1.40
2025-08-26,1.1633,3.2975,-0.35
2025-08-25,1.1674,3.3016,1.98
2025-08-22,1.1447,3.2789,2.01
2025-08-21,1.1221,3.2563,0.38
2025-08-20,1.1179,3.2521,1.09
2025-08-19,1.1059,3.2401,-0.36
2025-08-18,1.1099,3.2441,0.84
2025-08-15,1.1007,3.2349,0.67
2025-08-14,1.0934,3.2276,-0.05
2025-08-13,1.0940,3.2282,0.76
2025-08-12,1.0858,3.2200,0.49
2025-08-11,1.0805,3.2147,0.41
2025-08-08,1.0761,3.2103,-0.19
2025-08-07,1.0781,3.2123,0.02
2025-08-06,1.0779,3.2121,0.24
2025-08-05,1.0753,3.2095,0.76
2025-08-04,1.0672,3.2014,0.37
2025-08-01,1.0633,3.1975,-0.48
2025-07-31,1.0684,3.2026,-1.72
2025-07-30,1.0871,3.2213,-0.02
2025-07-29,1.0873,3.2215,0.38
2025-07-28,1.0832,3.2174,0.22
2025-07-25,1.0808,3.2150,-0.46
2025-07-24,1.0858,3.2200,0.68
2025-07-23,1.0785,3.2127,0.03
2025-07-22,1.0782,3.2124,0.79
2025-07-21,1.0698,3.2040,0.64
2025-07-18,1.0630,3.1972,0.68
2025-07-17,1.0558,3.1900,0.71
2025-07-16,1.0484,3.1826,-0.24
2025-07-15,1.0509,3.1851,0.04
2025-07-14,1.0505,3.1847,0.10
2025-07-11,1.0494,3.1836,0.25
2025-07-10,1.0468,3.1810,0.50
2025-07-09,1.0416,3.1758,-0.15
2025-07-08,1.0432,3.1774,0.79
2025-07-07,1.0350,3.1692,-0.36
2025-07-04,1.0387,3.1729,0.34
2025-07-03,1.0352,3.1694,0.60
2025-07-02,1.0290,3.1632,0.02
2025-07-01,1.0288,3.1630,0.16
2025-06-30,1.0272,3.1614,0.43
2025-06-27,1.0228,3.1570,-0.52
2025-06-26,1.0281,3.1623,-0.24
2025-06-25,1.0306,3.1648,1.45
2025-06-24,1.0159,3.1501,1.13
2025-06-23,1.0045,3.1387,0.30
2025-06-20,1.0015,3.1357,0.17
2025-06-19,0.9998,3.1340,-0.77
2025-06-18,1.0076,3.1418,0.14
2025-06-17,1.0062,3.1404,-0.08
2025-06-16,1.0070,3.1412,0.25
2025-06-13,1.0045,3.1387,-0.63
2025-06-12,1.0109,3.1451,0.04
2025-06-11,1.0105,3.1447,0.76
2025-06-10,1.0029,3.1371,-0.50
2025-06-09,1.0079,3.1421,0.29
2025-06-06,1.0050,3.1392,-0.03
2025-06-05,1.0053,3.1395,0.23
2025-06-04,1.0030,3.1372,0.41
2025-06-03,0.9989,3.1331,0.29
2025-05-30,0.9960,3.1302,-0.44
2025-05-29,1.0004,3.1346,0.56
2025-05-28,0.9948,3.1290,-0.07
2025-05-27,0.9955,3.1297,-0.51
2025-05-26,1.0006,3.1348,-0.54
2025-05-23,1.0060,3.1402,-0.75
2025-05-22,1.0136,3.1478,-0.06
2025-05-21,1.0142,3.1484,0.47
2025-05-20,1.0095,3.1437,0.53
2025-05-19,1.0042,3.1384,-0.29
2025-05-16,1.0071,3.1413,-0.44
2025-05-15,1.0116,3.1458,-0.84
2025-05-14,1.0202,3.1544,1.15
2025-05-13,1.0086,3.1428,0.15
2025-05-12,1.0071,3.1413,1.09
2025-05-09,0.9962,3.1304,-0.14
2025-05-08,0.9976,3.1318,0.53
2025-05-07,0.9923,3.1265,0.57
2025-05-06,0.9867,3.1209,0.95
2025-04-30,0.9774,3.1116,-0.09
2025-04-29,0.9783,3.1125,-0.16
2025-04-28,0.9799,3.1141,-0.13
2025-04-25,0.9812,3.1154,0.07
2025-04-24,0.9805,3.1147,-0.06
2025-04-23,0.9811,3.1153,0.07
2025-04-22,0.9804,3.1146,0.04
2025-04-21,0.9800,3.1142,0.31
2025-04-18,0.9770,3.1112,0.03
2025-04-17,0.9767,3.1109,0.00
2025-04-16,0.9767,3.1109,0.30
2025-04-15,0.9738,3.1080,0.05
2025-04-14,0.9733,3.1075,0.22
2025-04-11,0.9712,3.1054,0.38
2025-04-10,0.9675,3.1017,1.26
2025-04-09,0.9555,3.0897,0.95
2025-04-08,0.9465,3.0807,1.63
2025-04-07,0.9313,3.0655,-6.73
2025-04-03,0.9985,3.1327,-0.56
2025-04-02,1.0041,3.1383,-0.08
2025-04-01,1.0049,3.1391,0.02
2025-03-31,1.0047,3.1389,-0.67
2025-03-28,1.0115,3.1457,-0.41
2025-03-27,1.0157,3.1499,0.32
2025-03-26,1.0125,3.1467,-0.32
2025-03-25,1.0157,3.1499,-0.05
2025-03-24,1.0162,3.1504,0.47
2025-03-21,1.0114,3.1456,-1.44
2025-03-20,1.0262,3.1604,-0.83
2025-03-19,1.0348,3.1690,0.06
2025-03-18,1.0342,3.1684,0.25
2025-03-17,1.0316,3.1658,-0.23
2025-03-14,1.0340,3.1682,2.32
2025-03-13,1.0106,3.1448,-0.38
2025-03-12,1.0145,3.1487,-0.33
2025-03-11,1.0179,3.1521,0.30
2025-03-10,1.0149,3.1491,-0.37
2025-03-07,1.0187,3.1529,-0.30
2025-03-06,1.0218,3.1560,1.31
2025-03-05,1.0086,3.1428,0.42
2025-03-04,1.0044,3.1386,-0.07
2025-03-03,1.0051,3.1393,-0.02
2025-02-28,1.0053,3.1395,-1.85
2025-02-27,1.0243,3.1585,0.20
2025-02-26,1.0223,3.1565,0.82
2025-02-25,1.0140,3.1482,-1.04
2025-02-24,1.0247,3.1589,-0.22
2025-02-21,1.0270,3.1612,1.20
2025-02-20,1.0148,3.1490,-0.28
2025-02-19,1.0176,3.1518,0.66
2025-02-18,1.0109,3.1451,-0.82
2025-02-17,1.0193,3.1535,0.20
2025-02-14,1.0173,3.1515,0.81
2025-02-13,1.0091,3.1433,-0.35
2025-02-12,1.0126,3.1468,0.89
2025-02-11,1.0037,3.1379,-0.44
2025-02-10,1.0081,3.1423,0.21
